                  20161014 世联行 (002285)
 时间	    价格	    成交	笔数	
09:25	    8.51	    5335	223	
09:30	    8.51	      20	2	S	
09:30	    8.49	   10358	413	S	
09:30	    8.52	    1130	85	B	
09:30	    8.50	     228	19	S	
09:30	    8.51	     119	10	B	
09:30	    8.51	     410	23	B	
09:30	    8.51	      33	3	B	
09:30	    8.52	     398	12	B	
09:30	    8.51	      16	4	S	
09:30	    8.53	     250	17	B	
09:30	    8.51	     113	7	S	
09:30	    8.55	     148	15	B	
09:30	    8.54	      69	11	S	
09:30	    8.56	     337	14	B	
09:30	    8.56	     396	14	S	
09:30	    8.56	     163	12	S	
09:30	    8.58	     587	12	B	
09:30	    8.56	     115	10	S	
09:30	    8.56	     593	8	B	
09:30	    8.56	     279	11	B	
09:31	    8.55	     751	39	S	
09:31	    8.55	     131	22	B	
09:31	    8.56	     113	11	S	
09:31	    8.55	     307	20	S	
09:31	    8.54	     309	26	S	
09:31	    8.56	     476	23	B	
09:31	    8.53	     860	29	S	
09:31	    8.53	     232	12	B	
09:31	    8.52	     500	19	S	
09:31	    8.52	    1274	15	S	
09:31	    8.53	     519	18	S	
09:31	    8.53	     105	17	B	
09:31	    8.53	     365	25	S	
09:31	    8.52	     229	18	S	
09:31	    8.53	     327	15	B	
09:31	    8.52	     550	32	S	
09:31	    8.53	     260	14	B	
09:31	    8.53	     373	21	B	
09:31	    8.52	     153	15	S	
09:31	    8.53	     272	12	B	
09:32	    8.53	     765	24	B	
09:32	    8.53	     231	15	S	
09:32	    8.52	     183	15	S	
09:32	    8.54	     348	19	B	
09:32	    8.54	     158	12	B	
09:32	    8.53	     124	11	S	
09:32	    8.53	      41	10	S	
09:32	    8.54	     386	13	B	
09:32	    8.55	      72	12	B	
09:32	    8.55	     212	13	B	
09:32	    8.55	     177	6	B	
09:32	    8.55	     149	12	B	
09:32	    8.55	     536	42	B	
09:32	    8.54	     149	15	S	
09:32	    8.54	     103	10	B	
09:32	    8.54	     189	13	B	
