                  20161021 旷达科技 (002516)
 时间	    价格	    成交	笔数	
09:25	    7.27	    2202	149	
09:30	    7.28	     107	7	B	
09:30	    7.31	    3308	182	B	
09:30	    7.30	     595	23	S	
09:30	    7.30	      25	2	S	
09:30	    7.32	     162	12	B	
09:30	    7.32	     385	14	B	
09:30	    7.31	     129	9	
09:30	    7.32	      63	8	B	
09:30	    7.32	      65	3	B	
09:30	    7.32	     323	17	B	
09:30	    7.30	     134	10	S	
09:30	    7.32	     312	15	B	
09:30	    7.30	     939	27	S	
09:30	    7.31	     199	11	S	
09:30	    7.32	      45	5	B	
09:30	    7.30	     328	13	S	
09:30	    7.32	     315	18	B	
09:30	    7.32	     180	15	B	
09:30	    7.31	      74	10	
09:30	    7.31	     200	10	B	
09:31	    7.31	     565	23	B	
09:31	    7.30	     191	17	S	
09:31	    7.31	     270	16	B	
09:31	    7.30	     157	20	S	
09:31	    7.30	      69	7	B	
09:31	    7.29	     155	12	S	
09:31	    7.28	     476	24	S	
09:31	    7.29	     185	19	S	
09:31	    7.29	      18	4	B	
09:31	    7.28	     182	15	S	
09:31	    7.28	     394	22	S	
09:31	    7.28	     134	13	S	
09:31	    7.28	     367	18	S	
09:31	    7.28	     411	11	S	
09:31	    7.29	     224	10	B	
09:31	    7.29	     101	7	B	
09:31	    7.28	     274	11	S	
09:31	    7.28	     133	9	S	
09:31	    7.28	     668	12	S	
09:31	    7.28	    1042	33	S	
09:32	    7.28	     780	31	S	
09:32	    7.28	      60	5	B	
09:32	    7.27	     166	8	S	
09:32	    7.27	     178	16	S	
09:32	    7.27	      84	6	S	
09:32	    7.27	      68	14	S	
09:32	    7.26	      23	5	S	
09:32	    7.26	     469	15	S	
09:32	    7.26	       3	1	B	
09:32	    7.25	     295	29	S	
09:32	    7.23	      61	6	S	
09:32	    7.24	      65	6	B	
09:32	    7.22	      53	7	S	
09:32	    7.23	       2	1	B	
09:32	    7.23	      78	7	B	
09:32	    7.21	     138	5	S	
09:32	    7.22	     158	8	B	
09:32	    7.22	     728	24	B	
09:32	    7.21	     116	9	S	
09:32	    7.21	     236	17	S	
09:33	    7.23	     279	15	B	
09:33	    7.22	     510	16	S	
09:33	    7.22	     119	13	B	
09:33	    7.22	     309	10	B	
09:33	    7.22	     150	8	S	
09:33	    7.22	     164	6	S	
09:33	    7.22	     146	20	S	
09:33	    7.22	      65	9	S	
09:33	    7.22	     156	12	B	
09:33	    7.22	      75	6	B	
09:33	    7.21	     589	14	S	
09:33	    7.21	     313	13	S	
09:33	    7.21	      89	11	S	
09:33	    7.21	     154	10	B	
09:33	    7.21	     151	15	B	
09:33	    7.21	     316	18	B	
09:33	    7.21	     122	10	S	
09:33	    7.21	     102	13	S	
09:33	    7.21	     272	17	S	
09:33	    7.21	      54	6	B	
09:34	    7.21	     111	9	B	
09:34	    7.21	      78	10	S	
09:34	    7.20	     507	29	S	
09:34	    7.21	     130	6	B	
09:34	    7.22	     365	18	B	
09:34	    7.21	      85	7	S	
09:34	    7.21	     239	5	S	
09:34	    7.21	     420	19	S	
09:34	    7.21	     110	14	S	
09:34	    7.21	     256	16	B	
09:34	    7.22	     107	9	B	
09:34	    7.22	       5	2	B	
09:34	    7.22	     331	7	B	
09:34	    7.21	      75	6	S	
09:34	    7.22	     103	9	B	
09:34	    7.22	    1084	41	B	
09:34	    7.22	       5	1	S	
09:34	    7.22	      95	4	S	
09:34	    7.22	     286	18	S	
09:34	    7.23	      13	3	B	
09:35	    7.22	     163	8	S	
09:35	    7.23	      81	7	B	
09:35	    7.23	      98	5	B	
09:35	    7.22	     125	11	S	
09:35	    7.22	     116	9	S	
09:35	    7.22	      59	4	S	
09:35	    7.22	     149	12	S	
09:35	    7.22	     115	8	S	
09:35	    7.22	     282	16	S	
09:35	    7.22	     148	10	B	
09:35	    7.22	     136	3	S	
09:35	    7.22	     178	5	S	
09:35	    7.22	     337	13	S	
09:35	    7.23	      83	6	B	
09:35	    7.23	     110	10	B	
09:35	    7.23	      57	3	S	
09:35	    7.23	      62	4	S	
09:35	    7.23	     273	10	S	
09:35	    7.23	      40	5	S	
09:35	    7.23	      20	2	S	
09:36	    7.24	      43	3	B	
09:36	    7.23	       1	1	S	
09:36	    7.23	     301	10	S	
09:36	    7.24	     276	7	B	
09:36	    7.24	      45	5	S	
09:36	    7.24	      67	7	S	
09:36	    7.24	     169	9	S	
09:36	    7.24	     213	8	S	
09:36	    7.24	      34	4	S	
09:36	    7.24	     193	10	S	
09:36	    7.25	      58	6	B	
09:36	    7.24	     173	12	S	
09:36	    7.25	     121	6	B	
09:36	    7.24	     152	13	S	
09:36	    7.25	      10	2	
09:36	    7.25	      24	2	S	
09:36	    7.26	      48	3	B	
09:36	    7.26	      85	7	B	
09:36	    7.25	     148	9	S	
09:36	    7.25	     121	16	S	
09:37	    7.24	     274	15	S	
09:37	    7.24	      25	5	S	
09:37	    7.25	       2	1	B	
09:37	    7.25	      41	6	B	
09:37	    7.24	      31	4	S	
09:37	    7.25	      47	6	B	
09:37	    7.25	      15	2	S	
09:37	    7.25	      14	3	B	
09:37	    7.25	      57	3	B	
09:37	    7.24	      21	4	S	
09:37	    7.24	     880	25	S	
09:37	    7.25	     486	12	B	
09:37	    7.25	      82	9	S	
09:37	    7.25	      53	6	S	
09:37	    7.25	      50	6	S	
09:37	    7.25	      50	2	B	
09:37	    7.25	     184	9	S	
09:37	    7.25	     160	8	S	
09:37	    7.24	      30	2	S	
09:37	    7.25	     125	6	B	
09:38	    7.25	      10	1	B	
09:38	    7.24	      58	7	S	
09:38	    7.24	       1	1	S	
09:38	    7.24	     119	7	S	
09:38	    7.25	      25	5	B	
09:38	    7.24	     132	7	S	
09:38	    7.24	      66	6	S	
09:38	    7.25	     171	10	B	
09:38	    7.24	      76	6	S	
09:38	    7.25	      27	5	B	
09:38	    7.24	       2	1	
09:38	    7.25	     265	12	B	
09:38	    7.24	      75	8	S	
09:38	    7.24	      19	3	S	
09:38	    7.24	       9	1	S	
09:38	    7.24	      15	3	B	
09:38	    7.24	      28	2	B	
09:38	    7.24	     150	5	B	
09:38	    7.24	       7	2	B	
09:39	    7.24	      12	2	B	
09:39	    7.23	     328	24	S	
09:39	    7.23	      13	3	S	
09:39	    7.23	      31	4	B	
09:39	    7.23	      24	3	B	
09:39	    7.23	      32	3	B	
09:39	    7.22	       7	2	S	
09:39	    7.22	     111	10	S	
09:39	    7.22	      65	6	S	
09:39	    7.22	     186	12	S	
09:39	    7.20	    2005	85	S	
09:39	    7.23	     146	11	B	
09:39	    7.22	     127	9	S	
09:39	    7.21	       3	1	
09:39	    7.20	     534	25	S	
09:39	    7.20	      91	7	S	
09:39	    7.20	      22	3	S	
09:39	    7.21	     194	7	
09:39	    7.21	      52	3	B	
09:39	    7.20	      96	11	S	
09:40	    7.20	     113	10	S	
09:40	    7.21	     134	9	B	
09:40	    7.20	     426	17	S	
09:40	    7.20	     117	8	S	
09:40	    7.21	      88	9	B	
09:40	    7.20	     126	9	S	
09:40	    7.20	     350	23	S	
09:40	    7.20	     258	5	S	
09:40	    7.21	     175	12	B	
09:40	    7.20	     882	61	S	
09:40	    7.20	     101	5	B	
09:40	    7.20	      59	4	B	
09:40	    7.20	     273	12	B	
09:40	    7.20	      94	5	B	
09:40	    7.19	     204	12	S	
09:40	    7.19	     288	21	S	
09:40	    7.18	     111	8	S	
09:40	    7.18	       6	1	S	
09:40	    7.18	     148	6	S	
09:40	    7.18	     327	12	S	
09:41	    7.18	     456	30	S	
09:41	    7.18	      39	4	B	
09:41	    7.18	      67	7	B	
09:41	    7.18	     798	28	B	
09:41	    7.17	     163	9	S	
09:41	    7.17	     118	7	S	
09:41	    7.16	     100	6	S	
09:41	    7.17	      42	6	B	
09:41	    7.17	     137	9	B	
09:41	    7.17	     227	9	B	
09:41	    7.17	      57	6	B	
09:41	    7.17	     669	30	B	
09:41	    7.17	     141	14	B	
09:41	    7.17	      51	7	B	
09:41	    7.17	       4	2	S	
09:41	    7.17	     100	8	S	
09:41	    7.17	      28	6	S	
09:41	    7.18	       5	1	B	
09:41	    7.17	     100	12	S	
09:41	    7.18	     125	15	B	
09:42	    7.17	     273	21	S	
09:42	    7.17	     142	11	S	
09:42	    7.17	      50	8	B	
09:42	    7.17	     110	10	B	
09:42	    7.17	     194	11	B	
09:42	    7.18	     295	26	B	
09:42	    7.17	     127	7	S	
09:42	    7.17	     107	6	S	
09:42	    7.17	     303	14	S	
09:42	    7.17	     250	9	B	
09:42	    7.17	      46	8	S	
09:42	    7.17	     184	8	S	
09:42	    7.18	     130	6	B	
09:42	    7.18	      94	10	B	
09:42	    7.18	      92	7	B	
09:42	    7.18	      62	3	B	
09:42	    7.18	      88	6	B	
09:42	    7.17	      80	9	S	
09:42	    7.17	      56	5	S	
09:43	    7.17	      13	3	S	
09:43	    7.18	     128	13	B	
