                  通达股份 (002560)
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	
 2014/11/21	   19.99	   20.34	   19.90	   20.16	        1689432	           	           	           	           	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2014/11/24	   20.46	   20.49	   20.00	   20.14	        1771025	           	           	           	           	      -0.00	      -0.00	      -0.00	      -0.00	      -0.00	      -0.00	
 2014/11/25	   20.12	   20.80	   20.02	   20.78	        2453385	           	           	           	           	       0.05	       0.01	       0.08	       0.05	       0.01	       0.08	
 2014/11/26	   20.66	   21.05	   20.50	   20.87	        3214763	           	           	           	           	       0.09	       0.03	       0.14	       0.09	       0.03	       0.14	
 2014/11/27	   21.03	   21.40	   20.72	   20.99	        2314157	      20.59	           	           	           	       0.14	       0.05	       0.18	       0.14	       0.05	       0.18	
 2014/11/28	   20.98	   21.65	   20.76	   21.55	        4208529	      20.87	           	           	           	       0.22	       0.08	       0.27	       0.22	       0.08	       0.27	
 2014/12/01	   21.44	   21.44	   20.54	   21.25	        3013286	      21.09	           	           	           	       0.25	       0.12	       0.27	       0.25	       0.12	       0.27	
 2014/12/02	   21.30	   22.50	   21.14	   21.95	        4975633	      21.32	           	           	           	       0.33	       0.16	       0.34	       0.33	       0.16	       0.34	
 2014/12/03	   22.30	   22.99	   21.66	   22.35	        4478305	      21.62	           	           	           	       0.42	       0.21	       0.42	       0.42	       0.21	       0.42	
 2014/12/04	   22.05	   22.95	   22.05	   22.55	        4566013	      21.93	      21.26	           	           	       0.50	       0.27	       0.47	       0.50	       0.27	       0.47	
 2014/12/05	   22.55	   22.98	   20.52	   21.78	        3666814	      21.98	      21.42	           	           	       0.50	       0.32	       0.37	       0.50	       0.32	       0.37	
 2014/12/08	   21.48	   21.51	   20.40	   20.40	        3348167	      21.81	      21.45	           	           	       0.38	       0.33	       0.11	       0.38	       0.33	       0.11	
 2014/12/09	   20.14	   20.14	   18.36	   18.36	        5108859	      21.09	      21.20	           	           	       0.12	       0.29	      -0.33	       0.12	       0.29	      -0.33	
 2014/12/10	   18.35	   18.97	   18.21	   18.85	        2157283	      20.39	      21.00	           	           	      -0.04	       0.22	      -0.53	      -0.04	       0.22	      -0.53	
