                  扬子新材 (002652)
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	
 2014/05/14	   10.39	   10.51	   10.33	   10.45	         447811	           	           	           	           	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2014/05/15	   10.44	   10.67	   10.28	   10.41	         917121	           	           	           	           	      -0.00	      -0.00	      -0.01	      -0.00	      -0.00	      -0.01	
 2014/05/16	   10.41	   10.41	   10.10	   10.21	         376560	           	           	           	           	      -0.02	      -0.00	      -0.03	      -0.02	      -0.00	      -0.03	
 2014/05/19	   10.17	   10.24	   10.11	   10.19	         276952	           	           	           	           	      -0.04	      -0.01	      -0.05	      -0.04	      -0.01	      -0.05	
 2014/05/20	   10.20	   10.35	   10.20	   10.24	         394315	      10.30	           	           	           	      -0.05	      -0.02	      -0.05	      -0.05	      -0.02	      -0.05	
 2014/05/21	   10.24	   10.40	   10.12	   10.38	         511346	      10.29	           	           	           	      -0.04	      -0.02	      -0.03	      -0.04	      -0.02	      -0.03	
 2014/05/22	   10.38	   10.46	   10.27	   10.28	         540943	      10.26	           	           	           	      -0.04	      -0.03	      -0.03	      -0.04	      -0.03	      -0.03	
 2014/05/23	   10.28	   10.38	   10.23	   10.38	         264513	      10.29	           	           	           	      -0.04	      -0.03	      -0.02	      -0.04	      -0.03	      -0.02	
 2014/05/26	   10.40	   10.49	   10.36	   10.47	         475386	      10.35	           	           	           	      -0.02	      -0.03	       0.01	      -0.02	      -0.03	       0.01	
 2014/05/27	   10.40	   10.57	   10.40	   10.40	         450980	      10.38	      10.34	           	           	      -0.02	      -0.03	       0.01	      -0.02	      -0.03	       0.01	
 2014/05/28	   10.39	   10.53	   10.38	   10.51	         488344	      10.41	      10.35	           	           	      -0.01	      -0.02	       0.03	      -0.01	      -0.02	       0.03	
 2014/05/29	   10.69	   10.69	   10.35	   10.35	         620006	      10.42	      10.34	           	           	      -0.01	      -0.02	       0.02	      -0.01	      -0.02	       0.02	
