代码	名称	涨幅%%	现价	流通市值	流通股本(万)	市盈(动)	细分行业	当日___超大单	5分钟___涨幅%%	换手%%	今开	最高	最低	昨收	活跃度	总金额	量比	涨跌	
002285	世联行	-0.46	8.65	        146.80亿	     169710.81	    43.62	房产服务	  -2751万	0.11	          2.75	8.51	8.75	8.41	8.69	   3902	400891168	  1.37	-0.04	
000861	海印股份	-0.57	5.27	         92.82亿	     176129.45	    61.60	房产服务	  -1556万	-0.18	          1.19	5.37	5.42	5.23	5.30	   2439	110645496	  1.27	-0.03	
000505	*ST珠江	--  	9.84	         35.47亿	      36044.53	--  	房产服务	--  	--  	          0.00	--  	--  	--  	9.84	      0	0	  0.00	--  	
000056	皇庭国际	-1.46	12.83	         36.71亿	      28611.11	   145.05	房产服务	 -125.8万	0.00	          0.51	12.99	12.99	12.74	13.02	    818	18670056	  0.67	-0.19	
000005	世纪星源	1.20	7.58	         69.26亿	      91374.29	    31.59	房产服务	   2457万	0.00	          3.78	7.48	7.77	7.46	7.49	   2934	264407792	  2.74	0.09	
600895	张江高科	-0.32	18.63	        288.52亿	     154868.95	    49.63	园区开发	  -1056万	0.05	          0.43	18.72	18.72	18.50	18.69	   1529	123852816	  0.87	-0.06	
600848	上海临港	-2.20	21.75	         86.90亿	      39955.35	   152.05	园区开发	  -1271万	0.04	          1.47	22.20	22.20	21.48	22.24	   1658	127783624	  0.90	-0.49	
600736	苏州高新	0.86	9.38	        106.83亿	     113895.09	    21.23	园区开发	  657.6万	-0.21	          0.83	9.32	9.41	9.26	9.30	   1808	88025544	  1.14	0.08	
600663	陆家嘴	-0.91	24.01	        586.94亿	     244455.13	    45.78	园区开发	 -517.0万	-0.04	          0.16	24.17	24.21	23.80	24.23	   1701	93742608	  1.16	-0.22	
600658	电子城	1.01	12.02	         69.73亿	      58009.73	    47.45	园区开发	   15.0万	0.08	          0.48	11.85	12.05	11.72	11.90	    934	32810856	  0.76	0.12	
600648	外高桥	0.00	20.41	        190.79亿	      93479.15	    31.58	园区开发	  204.7万	0.44	          0.27	20.47	20.47	20.22	20.41	    986	51570060	  0.76	0.00	
600639	浦东金桥	-0.96	19.57	        137.61亿	      70316.63	    31.61	园区开发	 -883.2万	0.15	          0.63	19.76	19.78	19.47	19.76	   1512	86198104	  0.83	-0.19	
600604	市北高新	-1.03	20.22	         77.15亿	      38154.46	   128.50	园区开发	 -544.4万	0.09	          0.86	20.43	20.47	20.05	20.43	   1408	66034328	  1.02	-0.21	
600463	空港股份	0.00	14.95	         44.85亿	      30000.00	   104.17	园区开发	  284.1万	0.33	          1.40	14.94	14.96	14.69	14.95	    995	62366064	  0.64	0.00	
600215	长春经开	0.46	8.72	         40.55亿	      46503.28	    75.79	园区开发	 -125.5万	0.11	          4.18	8.68	8.99	8.64	8.68	   1792	171263296	  1.36	0.04	
600133	东湖高新	0.57	8.75	         47.07亿	      53794.89	   176.27	园区开发	  615.1万	0.00	          4.16	8.70	8.95	8.60	8.70	   1936	196703104	  1.22	0.05	
600082	海泰发展	-0.46	6.55	         41.42亿	      63242.48	--  	园区开发	 -184.7万	0.15	          0.82	6.57	6.62	6.48	6.58	    941	33710060	  0.67	-0.03	
600064	南京高科	-0.12	17.03	        131.55亿	      77247.29	     8.62	园区开发	 -549.3万	0.00	          0.61	17.02	17.08	16.92	17.05	   1397	80555400	  0.63	-0.02	
600007	中国国贸	-2.31	21.61	        217.67亿	     100728.25	    28.83	园区开发	  263.7万	-0.09	          0.21	22.12	22.18	21.41	22.12	    947	45056784	  1.04	-0.51	
000628	高新发展	-1.22	15.35	         28.85亿	      18797.88	   459.77	园区开发	  -1278万	0.00	          3.71	15.45	15.64	15.11	15.54	   1980	106502880	  0.76	-0.19	
600732	*ST新梅	--  	0.00	          0.00亿	      44638.30	--  	区域地产	--  	--  	          0.00	--  	--  	--  	--  	      0	0	  0.00	--  	
601588	北辰实业	0.00	4.22	        112.25亿	     266000.00	    17.93	区域地产	  410.1万	0.23	          0.38	4.22	4.22	4.19	4.22	   1008	42881900	  0.60	0.00	
601155	新城控股	0.26	11.62	         80.30亿	      69106.04	    15.14	区域地产	   33.1万	-0.08	          1.35	11.49	11.65	11.49	11.59	   1808	107917928	  0.47	0.03	
600890	中房股份	0.00	11.27	         65.28亿	      57919.48	--  	区域地产	   0.00	0.00	          0.00	--  	--  	--  	11.27	      1	0	  0.00	0.00	
600807	天业股份	-0.80	12.43	         80.06亿	      64411.96	    80.26	区域地产	  -3283万	0.24	          3.29	12.55	12.72	12.35	12.53	   2245	265296832	  0.84	-0.10	
600773	西藏城投	0.00	15.67	        108.62亿	      69314.77	   158.04	区域地产	   0.00	0.00	          0.00	--  	--  	--  	15.67	      1	0	  0.00	0.00	
600743	华远地产	-0.41	4.87	        114.26亿	     234610.09	    23.39	区域地产	  701.6万	-0.20	          0.75	4.86	4.90	4.82	4.89	   1954	84967072	  0.49	-0.02	
600733	S前锋	0.00	50.18	         37.94亿	       7560.00	--  	区域地产	   0.00	0.00	          0.00	--  	--  	--  	50.18	      1	0	  0.00	0.00	
600724	宁波富达	-1.21	5.71	         82.51亿	     144494.27	    11.06	区域地产	 -595.7万	0.17	          0.81	5.76	5.77	5.61	5.78	   1244	67038376	  0.64	-0.07	
600716	凤凰股份	-1.51	7.84	         58.06亿	      74060.06	   620.02	区域地产	 -392.7万	0.00	          1.35	7.89	7.89	7.78	7.96	   1253	78065760	  0.89	-0.12	
600696	匹凸匹	0.78	14.18	         48.29亿	      34056.55	--  	区域地产	   1491万	-0.35	          7.67	14.00	14.43	13.93	14.07	   2459	370612480	  0.78	0.11	
600683	京投发展	-0.74	9.38	         69.48亿	      74077.75	    87.75	区域地产	 -371.4万	-0.10	          0.42	9.44	9.45	9.28	9.45	    861	29373528	  0.51	-0.07	
600675	*ST中企	0.00	5.05	         94.29亿	     186705.94	--  	区域地产	   0.00	0.00	          0.00	--  	--  	--  	5.05	      1	0	  0.00	0.00	
600649	城投控股	0.00	14.36	        429.01亿	     298752.34	    14.41	区域地产	   0.00	0.00	          0.00	--  	--  	--  	14.36	      1	0	  0.00	0.00	
600641	万业企业	-0.97	13.32	        107.38亿	      80615.88	    85.97	区域地产	 -491.3万	0.15	          0.85	13.40	13.40	13.10	13.45	   1023	91227216	  1.59	-0.13	
600638	新黄浦	-0.33	15.03	         84.34亿	      56116.39	    52.22	区域地产	 -414.8万	0.06	          0.83	15.13	15.17	14.83	15.08	    907	70218072	  0.60	-0.05	
