代码	名称	流通股本(万)	现价	流通市值	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	
601398	工商银行	   26961222.00	4.41	      11889.90亿	4.40	4.41	538801	1	0.22	          0.02	4.41	4.43	4.39	4.41	     5.23	237802800	  0.91	银行	北京	
601857	中国石油	   16192208.00	7.33	      11868.89亿	7.33	7.34	211336	11	0.00	          0.01	7.33	7.36	7.31	7.33	  1270.40	155045520	  1.23	石油开采	北京	
601288	农业银行	   29405530.00	3.14	       9233.34亿	3.14	3.15	514613	4	0.00	          0.02	3.14	3.15	3.14	3.14	     4.85	161886992	  0.79	银行	北京	
601988	中国银行	   21076552.00	3.38	       7123.88亿	3.38	3.39	572841	360	0.00	          0.03	3.39	3.41	3.38	3.39	     5.35	194468576	  0.90	银行	北京	
600028	中国石化	    9555777.00	4.98	       4758.78亿	4.97	4.98	874866	75	0.00	          0.09	4.96	4.99	4.94	4.96	    15.66	435311776	  1.63	石油加工	北京	
601628	中国人寿	    2082353.00	21.38	       4452.07亿	21.38	21.39	85549	20	0.09	          0.04	21.52	21.62	21.25	21.60	    29.07	183157744	  1.75	保险	北京	
600519	贵州茅台	     125619.78	306.45	       3849.62亿	306.31	306.40	14123	3	0.15	          0.11	308.50	308.75	305.10	307.16	    21.87	433658688	  0.73	白酒	贵州	
601318	中国平安	    1083266.50	34.12	       3696.11亿	34.12	34.13	205152	8	-0.05	          0.19	34.24	34.27	34.10	34.20	     7.65	700734080	  0.69	保险	深圳	
600036	招商银行	    2062894.50	17.88	       3688.46亿	17.88	17.89	119301	4	0.00	          0.06	17.93	18.05	17.83	17.93	     6.40	213904320	  1.00	银行	深圳	
600000	浦发银行	    2051881.88	16.27	       3338.41亿	16.26	16.27	111432	21	0.06	          0.05	16.35	16.39	16.24	16.34	     6.57	181631904	  0.79	银行	上海	
601166	兴业银行	    1905233.63	16.06	       3059.81亿	16.05	16.06	187509	30	0.06	          0.10	16.09	16.11	16.02	16.07	     5.20	301091168	  0.68	银行	福建	
600016	民生银行	    2955177.00	9.28	       2742.40亿	9.28	9.29	166272	56	0.00	          0.06	9.27	9.30	9.27	9.27	     6.22	154289232	  0.44	银行	北京	
601088	中国神华	    1649103.75	15.92	       2625.37亿	15.94	15.95	292129	24	0.06	          0.18	15.92	16.18	15.81	15.81	    16.11	467266272	  2.02	煤炭开采	北京	
600104	上汽集团	    1102556.63	22.97	       2532.57亿	22.96	22.98	257958	115	0.04	          0.23	22.54	23.12	22.48	22.58	     8.41	591712448	  2.31	汽车整车	上海	
000002	万 科Ａ	     970810.75	25.83	       2507.60亿	25.82	25.83	604605	15175	0.03	          0.62	26.00	26.48	25.79	26.00	    26.64	1573933056	  0.69	全国地产	深圳	
601328	交通银行	    3925086.50	5.57	       2186.27亿	5.57	5.58	527515	14	-0.17	          0.13	5.57	5.61	5.57	5.57	     5.49	294749024	  1.29	银行	上海	
601766	中国中车	    2291769.25	9.36	       2145.10亿	9.34	9.35	1006833	2764	0.21	          0.44	9.40	9.48	9.31	9.45	    26.64	945794560	  1.34	运输设备	北京	
